regio,telepulestipus,lakastipus,idoszak,atlagár_mFt
Észak-Alföld,városok,Új lakások,2024. IV.,..
Észak-Alföld,városok,Új lakások,2025. I.,..
Észak-Alföld,városok,Új lakások,2025. II.,..
Észak-Alföld,városok,Új lakások,2025. III.,..
Észak-Alföld,városok,Új lakások,2025. IV.,..
Észak-Alföld,községek,Új lakások,2021. I.,..
Észak-Alföld,községek,Új lakások,2021. II.,..
Észak-Alföld,községek,Új lakások,2021. III.,..
Észak-Alföld,községek,Új lakások,2021. IV.,..
Észak-Alföld,községek,Új lakások,2022. I.,..
Észak-Alföld,községek,Új lakások,2022. II.,..
Észak-Alföld,községek,Új lakások,2022. III.,..
Észak-Alföld,községek,Új lakások,2022. IV.,..
Észak-Alföld,községek,Új lakások,2023. I.,..
Észak-Alföld,községek,Új lakások,2023. II.,..
Észak-Alföld,községek,Új lakások,2023. III.,..
Észak-Alföld,községek,Új lakások,2023. IV.,..
Észak-Alföld,községek,Új lakások,2024. I.,..
Észak-Alföld,községek,Új lakások,2024. II.,..
Észak-Alföld,községek,Új lakások,2024. III.,..
Észak-Alföld,községek,Új lakások,2024. IV.,..
Észak-Alföld,községek,Új lakások,2025. I.,..
Észak-Alföld,községek,Új lakások,2025. II.,..
Észak-Alföld,községek,Új lakások,2025. III.,..
Észak-Alföld,községek,Új lakások,2025. IV.,..
Észak-Alföld,együtt,Új lakások,2021. I.,33.2
Észak-Alföld,együtt,Új lakások,2021. II.,37.8
Észak-Alföld,együtt,Új lakások,2021. III.,39.6
Észak-Alföld,együtt,Új lakások,2021. IV.,37.7
Észak-Alföld,együtt,Új lakások,2022. I.,43.9
Észak-Alföld,együtt,Új lakások,2022. II.,41.3
Észak-Alföld,együtt,Új lakások,2022. III.,36.2
Észak-Alföld,együtt,Új lakások,2022. IV.,40.7
Észak-Alföld,együtt,Új lakások,2023. I.,42.8
Észak-Alföld,együtt,Új lakások,2023. II.,47.9
Észak-Alföld,együtt,Új lakások,2023. III.,43.2
Észak-Alföld,együtt,Új lakások,2023. IV.,47.3
Észak-Alföld,együtt,Új lakások,2024. I.,52.7
Észak-Alföld,együtt,Új lakások,2024. II.,51.5
Észak-Alföld,együtt,Új lakások,2024. III.,52.5
Észak-Alföld,együtt,Új lakások,2024. IV.,60.5
Észak-Alföld,együtt,Új lakások,2025. I.,61.2
Észak-Alföld,együtt,Új lakások,2025. II.,63.6
Észak-Alföld,együtt,Új lakások,2025. III.,57.1
Észak-Alföld,együtt,Új lakások,2025. IV.,63.7
Dél-Alföld,vármegyeszékhely,Új lakások,2021. I.,33.9
Dél-Alföld,vármegyeszékhely,Új lakások,2021. II.,33.3
Dél-Alföld,vármegyeszékhely,Új lakások,2021. III.,36.4
Dél-Alföld,vármegyeszékhely,Új lakások,2021. IV.,33.1
Dél-Alföld,vármegyeszékhely,Új lakások,2022. I.,40.9
Dél-Alföld,vármegyeszékhely,Új lakások,2022. II.,46.1
Dél-Alföld,vármegyeszékhely,Új lakások,2022. III.,53.3
Dél-Alföld,vármegyeszékhely,Új lakások,2022. IV.,57
Dél-Alföld,vármegyeszékhely,Új lakások,2023. I.,..
Dél-Alföld,vármegyeszékhely,Új lakások,2023. II.,49.4
Dél-Alföld,vármegyeszékhely,Új lakások,2023. III.,42.9
Dél-Alföld,vármegyeszékhely,Új lakások,2023. IV.,..
Dél-Alföld,vármegyeszékhely,Új lakások,2024. I.,46.2
Dél-Alföld,vármegyeszékhely,Új lakások,2024. II.,45.1
Dél-Alföld,vármegyeszékhely,Új lakások,2024. III.,..
Dél-Alföld,vármegyeszékhely,Új lakások,2024. IV.,..
Dél-Alföld,vármegyeszékhely,Új lakások,2025. I.,..
Dél-Alföld,vármegyeszékhely,Új lakások,2025. II.,73.5
Dél-Alföld,vármegyeszékhely,Új lakások,2025. III.,..
Dél-Alföld,vármegyeszékhely,Új lakások,2025. IV.,..
Dél-Alföld,városok,Új lakások,2021. I.,..
Dél-Alföld,városok,Új lakások,2021. II.,..
Dél-Alföld,városok,Új lakások,2021. III.,..
Dél-Alföld,városok,Új lakások,2021. IV.,..
Dél-Alföld,városok,Új lakások,2022. I.,..
Dél-Alföld,városok,Új lakások,2022. II.,32.7
Dél-Alföld,városok,Új lakások,2022. III.,..
Dél-Alföld,városok,Új lakások,2022. IV.,..
Dél-Alföld,városok,Új lakások,2023. I.,..
Dél-Alföld,városok,Új lakások,2023. II.,..
Dél-Alföld,városok,Új lakások,2023. III.,..
Dél-Alföld,városok,Új lakások,2023. IV.,..
Dél-Alföld,városok,Új lakások,2024. I.,..
Dél-Alföld,városok,Új lakások,2024. II.,..
Dél-Alföld,városok,Új lakások,2024. III.,..
Dél-Alföld,városok,Új lakások,2024. IV.,..
Dél-Alföld,városok,Új lakások,2025. I.,..
Dél-Alföld,városok,Új lakások,2025. II.,..
Dél-Alföld,városok,Új lakások,2025. III.,..
Dél-Alföld,városok,Új lakások,2025. IV.,..
Dél-Alföld,községek,Új lakások,2021. I.,..
Dél-Alföld,községek,Új lakások,2021. II.,..
Dél-Alföld,községek,Új lakások,2021. III.,..
Dél-Alföld,községek,Új lakások,2021. IV.,..
Dél-Alföld,községek,Új lakások,2022. I.,..
Dél-Alföld,községek,Új lakások,2022. II.,..
Dél-Alföld,községek,Új lakások,2022. III.,..
Dél-Alföld,községek,Új lakások,2022. IV.,..
Dél-Alföld,községek,Új lakások,2023. I.,..
Dél-Alföld,községek,Új lakások,2023. II.,..
Dél-Alföld,községek,Új lakások,2023. III.,..
Dél-Alföld,községek,Új lakások,2023. IV.,..
Dél-Alföld,községek,Új lakások,2024. I.,..
Dél-Alföld,községek,Új lakások,2024. II.,..
Dél-Alföld,községek,Új lakások,2024. III.,..
Dél-Alföld,községek,Új lakások,2024. IV.,..
Dél-Alföld,községek,Új lakások,2025. I.,..
Dél-Alföld,községek,Új lakások,2025. II.,..
Dél-Alföld,községek,Új lakások,2025. III.,..
Dél-Alföld,községek,Új lakások,2025. IV.,..
Dél-Alföld,együtt,Új lakások,2021. I.,32.1
Dél-Alföld,együtt,Új lakások,2021. II.,32
Dél-Alföld,együtt,Új lakások,2021. III.,36.5
Dél-Alföld,együtt,Új lakások,2021. IV.,33.1
Dél-Alföld,együtt,Új lakások,2022. I.,40.2
Dél-Alföld,együtt,Új lakások,2022. II.,41.4
Dél-Alföld,együtt,Új lakások,2022. III.,45.4
Dél-Alföld,együtt,Új lakások,2022. IV.,50
Dél-Alföld,együtt,Új lakások,2023. I.,46.1
Dél-Alföld,együtt,Új lakások,2023. II.,48.4
Dél-Alföld,együtt,Új lakások,2023. III.,45
Dél-Alföld,együtt,Új lakások,2023. IV.,..
Dél-Alföld,együtt,Új lakások,2024. I.,46.7
Dél-Alföld,együtt,Új lakások,2024. II.,45.4
Dél-Alföld,együtt,Új lakások,2024. III.,51.1
Dél-Alföld,együtt,Új lakások,2024. IV.,..
Dél-Alföld,együtt,Új lakások,2025. I.,62.2
Dél-Alföld,együtt,Új lakások,2025. II.,68.3
Dél-Alföld,együtt,Új lakások,2025. III.,..
Dél-Alföld,együtt,Új lakások,2025. IV.,65.9
Ország,főváros,Új lakások,2021. I.,51.8
Ország,főváros,Új lakások,2021. II.,53.5
Ország,főváros,Új lakások,2021. III.,56.5
Ország,főváros,Új lakások,2021. IV.,57.7
Ország,főváros,Új lakások,2022. I.,64.8
Ország,főváros,Új lakások,2022. II.,60
Ország,főváros,Új lakások,2022. III.,60.5
Ország,főváros,Új lakások,2022. IV.,66.9
Ország,főváros,Új lakások,2023. I.,72.4
Ország,főváros,Új lakások,2023. II.,79.5
Ország,főváros,Új lakások,2023. III.,64.5
Ország,főváros,Új lakások,2023. IV.,70.4
Ország,főváros,Új lakások,2024. I.,83.9
Ország,főváros,Új lakások,2024. II.,80.5
Ország,főváros,Új lakások,2024. III.,73.3
Ország,főváros,Új lakások,2024. IV.,84.1
Ország,főváros,Új lakások,2025. I.,90.4
Ország,főváros,Új lakások,2025. II.,102.2
Ország,főváros,Új lakások,2025. III.,94.5
Ország,főváros,Új lakások,2025. IV.,91.9
Ország,vármegyeszékhely,Új lakások,2021. I.,33.4
Ország,vármegyeszékhely,Új lakások,2021. II.,33.4
Ország,vármegyeszékhely,Új lakások,2021. III.,35.4
Ország,vármegyeszékhely,Új lakások,2021. IV.,35.4
Ország,vármegyeszékhely,Új lakások,2022. I.,43.2
Ország,vármegyeszékhely,Új lakások,2022. II.,42.4
Ország,vármegyeszékhely,Új lakások,2022. III.,40.1
Ország,vármegyeszékhely,Új lakások,2022. IV.,47.1
Ország,vármegyeszékhely,Új lakások,2023. I.,47.7
Ország,vármegyeszékhely,Új lakások,2023. II.,51.6
Ország,vármegyeszékhely,Új lakások,2023. III.,45.2
Ország,vármegyeszékhely,Új lakások,2023. IV.,50.7
Ország,vármegyeszékhely,Új lakások,2024. I.,52.4
Ország,vármegyeszékhely,Új lakások,2024. II.,52.7
Ország,vármegyeszékhely,Új lakások,2024. III.,54.4
Ország,vármegyeszékhely,Új lakások,2024. IV.,60.7
Ország,vármegyeszékhely,Új lakások,2025. I.,65.9
Ország,vármegyeszékhely,Új lakások,2025. II.,67.3
Ország,vármegyeszékhely,Új lakások,2025. III.,58.9
Ország,vármegyeszékhely,Új lakások,2025. IV.,65.3
Ország,városok,Új lakások,2021. I.,42.6
Ország,városok,Új lakások,2021. II.,42.8
Ország,városok,Új lakások,2021. III.,40.3
Ország,városok,Új lakások,2021. IV.,42.9
Ország,városok,Új lakások,2022. I.,54.3
Ország,városok,Új lakások,2022. II.,48.5
Ország,városok,Új lakások,2022. III.,45.5
Ország,városok,Új lakások,2022. IV.,45.3
Ország,városok,Új lakások,2023. I.,52.2
Ország,városok,Új lakások,2023. II.,60.2
Ország,városok,Új lakások,2023. III.,58.4
Ország,városok,Új lakások,2023. IV.,54.3
Ország,városok,Új lakások,2024. I.,61.1
Ország,városok,Új lakások,2024. II.,64.3
Ország,városok,Új lakások,2024. III.,63.5
Ország,városok,Új lakások,2024. IV.,59.9
Ország,városok,Új lakások,2025. I.,68.8
Ország,városok,Új lakások,2025. II.,71.2
Ország,városok,Új lakások,2025. III.,74
Ország,városok,Új lakások,2025. IV.,71.1
Ország,községek,Új lakások,2021. I.,43.5
Ország,községek,Új lakások,2021. II.,45.3
Ország,községek,Új lakások,2021. III.,45.5
Ország,községek,Új lakások,2021. IV.,46.9
Ország,községek,Új lakások,2022. I.,57.9
Ország,községek,Új lakások,2022. II.,57.4
Ország,községek,Új lakások,2022. III.,56
Ország,községek,Új lakások,2022. IV.,58.4
Ország,községek,Új lakások,2023. I.,64.9
Ország,községek,Új lakások,2023. II.,63.5
Ország,községek,Új lakások,2023. III.,63.7
Ország,községek,Új lakások,2023. IV.,65.3
Ország,községek,Új lakások,2024. I.,70.5
Ország,községek,Új lakások,2024. II.,69.8
Ország,községek,Új lakások,2024. III.,76.1
Ország,községek,Új lakások,2024. IV.,71.1
Ország,községek,Új lakások,2025. I.,71.4
Ország,községek,Új lakások,2025. II.,79.7
Ország,községek,Új lakások,2025. III.,80.8
Ország,községek,Új lakások,2025. IV.,86.6
Ország,összesen,Új lakások,2021. I.,44.4
Ország,összesen,Új lakások,2021. II.,46.4
Ország,összesen,Új lakások,2021. III.,46.8
Ország,összesen,Új lakások,2021. IV.,47.5
Ország,összesen,Új lakások,2022. I.,57.8
Ország,összesen,Új lakások,2022. II.,53.9
Ország,összesen,Új lakások,2022. III.,53.1
Ország,összesen,Új lakások,2022. IV.,57.8
Ország,összesen,Új lakások,2023. I.,61.7
Ország,összesen,Új lakások,2023. II.,66.4
Ország,összesen,Új lakások,2023. III.,58.9
Ország,összesen,Új lakások,2023. IV.,63.5
Ország,összesen,Új lakások,2024. I.,70.6
Ország,összesen,Új lakások,2024. II.,69.8
Ország,összesen,Új lakások,2024. III.,69.1
Ország,összesen,Új lakások,2024. IV.,73.1
Ország,összesen,Új lakások,2025. I.,80.4
Ország,összesen,Új lakások,2025. II.,85
Ország,összesen,Új lakások,2025. III.,79.1
Ország,összesen,Új lakások,2025. IV.,81.9
